ahe;year;bachelor;female;age
38,46154022;2008;1;0;33
12,5;2008;1;0;31
9,857142448;2008;0;0;30
8,241758347;2008;0;0;30
17,78846169;2008;0;0;31
10,09615421;2008;0;1;29
17,78846169;2008;1;0;26
30,38461494;2008;1;0;28
23,66863823;2008;1;0;30
12,01923084;2008;1;1;25
15,86538506;2008;0;0;26
11,84615421;2008;0;0;25
28,84615326;2008;0;0;30
9,440909386;2008;0;0;31
20,19230843;2008;0;0;32
13,46153831;2008;0;1;31
13,03418827;2008;1;1;27
25,64102554;2008;1;1;31
18,21862412;2008;1;1;32
8,753846169;2008;1;1;27
12,01923084;2008;1;0;29
22,43589783;2008;0;0;34
14,42307663;2008;0;1;26
13,07692337;2008;0;0;26
9,393750191;2008;0;0;28
10,1796875;2008;1;1;25
29,80769157;2008;1;0;33
32,05128098;2008;0;0;34
8,653845787;2008;0;0;25
7,211538315;2008;0;1;32
8,012820244;2008;1;0;25
15,625;2008;0;1;30
12,98076916;2008;0;1;29
28,84615326;2008;1;0;29
34,61538315;2008;0;0;26
7,692307472;2008;0;0;30
16,82692337;2008;0;0;27
19,71153831;2008;0;0;32
19,76495743;2008;0;1;27
15,38461494;2008;1;1;27
13,46153831;2008;0;1;26
8,894230843;2008;0;0;27
19,74038506;2008;0;0;31
12,47401237;2008;0;1;32
16,82788467;2008;1;0;25
25,64102554;2008;1;0;34
17,30769157;2008;0;1;30
17,52136803;2008;1;0;27
37,5;2008;1;1;27
32,69230652;2008;1;0;32
27,88461494;2008;1;1;29
19,23077011;2008;1;0;33
20,19230843;2008;0;0;34
26,44230843;2008;1;1;30
21,63461494;2008;1;0;33
22,11538506;2008;1;0;28
24,03846169;2008;1;0;32
33,65384674;2008;1;1;34
23,55769157;2008;1;1;33
15,38461494;2008;1;1;34
17,30769157;2008;1;0;33
18,26922989;2008;0;0;28
4,807692528;2008;1;0;29
17,78846169;2008;1;1;28
38,46154022;2008;1;0;31
40,59828949;2008;1;0;34
15;2008;1;0;34
21,63461494;2008;0;0;34
15,86538506;2008;0;1;29
20,67307663;2008;0;0;31
21,63461494;2008;1;1;31
6,923077107;2008;1;1;28
17,78846169;2008;1;1;30
10,78799248;2008;1;1;28
15,56076908;2008;1;0;34
16,10577011;2008;0;0;27
11,09467411;2008;1;0;31
10,74113846;2008;1;0;29
16,34615326;2008;0;1;27
15,38461494;2008;0;1;26
13,46153831;2008;0;1;30
17,78846169;2008;1;1;33
16,17994499;2008;0;1;32
18,53146935;2008;0;0;32
19,23077011;2008;1;1;28
28,84615326;2008;0;0;30
7,211538315;2008;0;0;27
11,53846169;2008;0;0;27
11;2008;0;0;30
12,5;2008;0;0;34
10,47570896;2008;1;1;28
26,62721825;2008;1;0;30
16,48351669;2008;0;1;34
4,807692528;2008;0;1;29
13,37792683;2008;0;0;26
50,48077011;2008;1;1;34
19,23077011;2008;1;1;32
9,615385056;2008;1;0;32
22,22222137;2008;1;1;26
15;2008;0;0;34
11,53846169;2008;0;1;28
13,15384579;2008;0;0;34
28,84615326;2008;0;0;28
9,761538506;2008;1;0;28
43,26922989;2008;1;0;32
18,49112511;2008;0;0;25
24,03846169;2008;1;0;30
30,28846169;2008;1;0;29
26,44230843;2008;1;0;30
18,07692337;2008;1;0;34
38,46154022;2008;1;0;32
38,46154022;2008;1;0;32
32,05128098;2008;1;1;30
13,6217947;2008;0;1;27
16,82692337;2008;0;0;33
46,15384674;2008;0;0;32
45;2008;1;0;31
53,07692337;2008;1;0;33
20,67307663;2008;1;0;26
24,05200005;2008;1;0;26
